X6,X3,X962.ENEG.1,X962.ENEG.2,X963.ENEG.1,X963.ENEG.2,X964.ENEG.1,X964.ENEG.2,X965.ENEG.1,X965.ENEG.2,BBL25.521760,CAR25.518830,CAR25.518831,CAR25.518836,CAR25.518837,CAR25.518855,CAR25.518856,CAR25.518862,CAR25.518863,CAR25.518872,CAR25.518873,CAR25.518879,CAR25.518880,CAR25.518927,CAR25.518928,CAR25.519011,CAR25.519012,CAR25.519017,CAR25.519018,CAR25.519028,CAR25.519029,CAR25.519082,CAR25.519083,CAR25.519157,CAR25.519158,CAR25.519163,CAR25.519164,CAR25.519170,CAR25.519171,CAR25.519176,CAR25.519177,CAR25.519182,CAR25.519183,CAR25.519197,CAR25.519198,CAR25.519268,CAR25.519269,CAR25.519329,CAR25.519330,CAR25.519335,CAR25.519336,CAR25.519407,CAR25.519408,CAR25.519590,CAR25.519591,CAR25.519648,CAR25.519649,CAR25.FB101,CAR25.FB111,CAR25.FB114,CAR25.FB128,CAR25.FB131,CAR25.FB141,CAR25.FB144,CAR25.FB585,CAR25.FB614,CAR25.FB67,CAR25.FB72,CAR25.FB75,CAR25.FB82,CAR25.FB86,CAR25.FB98,GUL25.522118,GUL25.522119,GUL25.522134,GUL25.522135,GUL25.522163,GUL25.522164,GUL25.522169,GUL25.522185,GUL25.522186,GUL25.522192,GUL25.FB668,NEC25.521595,NEC25.521596,NEC25.521615,NEC25.521616,NEC25.521631,NEC25.521632,NEC25.521648,NEC25.521649,NEC25.521663,NEC25.521664,NEC25.521686,NEC25.521687,NEC25.521702,NEC25.521703,NEC25.FB641
Nanomia cara,100,10,0,0,0,16,0,0,0,0,280,139,218,194,0,13,26,25,1417,1854,120,58,48974,110783,97,386,0,1039,129,126,0,0,0,0,25,18,20,33,0,3,0,0,14,0,46,0,0,0,0,0,0,0,0,79,0,0,0,35,0,0,0,0,0,0,25,0,0,0,10,0,21,0,0,0,0,0,0,66,0,0,0,0,24,47,41,0,0,0,0,26,11,65,98,382,306,295,0
Nanomia cara,100,10,0,0,0,16,0,0,0,0,280,139,218,194,0,13,26,25,1417,1854,120,58,48974,110783,97,386,0,1039,129,126,0,0,0,0,25,18,20,33,0,3,0,0,14,0,46,0,0,0,0,0,0,0,0,79,0,0,0,35,0,0,0,0,0,0,25,0,0,0,10,0,21,0,0,0,0,0,0,66,0,0,0,0,24,47,41,0,0,0,0,26,11,65,98,382,306,295,0
Nanomia cara,100,10,0,0,0,16,0,0,0,0,280,139,218,194,0,13,26,25,1417,1854,120,58,48974,110783,97,386,0,1039,129,126,0,0,0,0,25,18,20,33,0,3,0,0,14,0,46,0,0,0,0,0,0,0,0,79,0,0,0,35,0,0,0,0,0,0,25,0,0,0,10,0,21,0,0,0,0,0,0,66,0,0,0,0,24,47,41,0,0,0,0,26,11,65,98,382,306,295,0
Bathycoccus prasinos,99.67,25,12,0,0,0,0,0,0,0,11218,7816,6867,8456,3434,4604,4169,3641,4248,5398,8138,9892,0,127,243,748,1610,1540,5650,7193,132,0,701,1498,762,407,564,2568,4112,4300,1101,1319,0,0,981,674,938,222,404,542,664,66,2814,2370,0,0,0,11,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,124,0,0,0,84,0,6651,9932,645,1135,220,606,372,761,954,900,633,753,150,143,0
Bathycoccus prasinos,99.67,25,12,0,0,0,0,0,0,0,11218,7816,6867,8456,3434,4604,4169,3641,4248,5398,8138,9892,0,127,243,748,1610,1540,5650,7193,132,0,701,1498,762,407,564,2568,4112,4300,1101,1319,0,0,981,674,938,222,404,542,664,66,2814,2370,0,0,0,11,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,124,0,0,0,84,0,6651,9932,645,1135,220,606,372,761,954,900,633,753,150,143,0
Bathycoccus prasinos,99.67,25,12,0,0,0,0,0,0,0,11218,7816,6867,8456,3434,4604,4169,3641,4248,5398,8138,9892,0,127,243,748,1610,1540,5650,7193,132,0,701,1498,762,407,564,2568,4112,4300,1101,1319,0,0,981,674,938,222,404,542,664,66,2814,2370,0,0,0,11,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,124,0,0,0,84,0,6651,9932,645,1135,220,606,372,761,954,900,633,753,150,143,0
Bathycoccus prasinos,99.67,25,12,0,0,0,0,0,0,0,11218,7816,6867,8456,3434,4604,4169,3641,4248,5398,8138,9892,0,127,243,748,1610,1540,5650,7193,132,0,701,1498,762,407,564,2568,4112,4300,1101,1319,0,0,981,674,938,222,404,542,664,66,2814,2370,0,0,0,11,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,124,0,0,0,84,0,6651,9932,645,1135,220,606,372,761,954,900,633,753,150,143,0
Bathycoccus prasinos,99.67,25,12,0,0,0,0,0,0,0,11218,7816,6867,8456,3434,4604,4169,3641,4248,5398,8138,9892,0,127,243,748,1610,1540,5650,7193,132,0,701,1498,762,407,564,2568,4112,4300,1101,1319,0,0,981,674,938,222,404,542,664,66,2814,2370,0,0,0,11,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,124,0,0,0,84,0,6651,9932,645,1135,220,606,372,761,954,900,633,753,150,143,0
Pseudocalanus minutus,100,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,0,0,0,13,27060,0,0,0,97,0,15,0,10,0,0,0,0,0,115590,0,0,0,16,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudocalanus minutus,100,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,0,0,0,13,27060,0,0,0,97,0,15,0,10,0,0,0,0,0,115590,0,0,0,16,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,18,0,0,0,13,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
